,morph
37,"['동사', '한국', '전매', '공', '사법', '의거', '현물출자', '정부', '투자', '기관', '한국', '전매', '공사', '설립', '정부', '공기업', '민영화', '경영', '혁신', '계획', '방침', '홍삼', '사업', '분리', '당사', '홍삼', '사업', '관련', '자산', '부채', '신설', '주', '한국인삼공사', '사업', '포괄', '현물', '출자', '동사', '당사', '상호', '주식회사', '한국담배인삼공사', '주식회사', '케이티', '앤', '지로', '변경']"
38,"['동사', '연결', '실체', '모바일', '게임 개발', '퍼블리싱', '사업', '영위', '넷마블', '게임 개발', '자회사', '개발', '게임', '등', '퍼블리싱', '사업', '전문', '영위', '동사', '연결', '실체', '개발', '공급', '게임', '라인업', '모두의 마블', '스톤에이지', '월드', '세븐나이츠', '몬스터', '등', '쥬', '얼', '장르', '라인업', '구글 플레이', '애플', '등', '마켓', '순위', '게임', '다수', '보유', 'MMORPG']"
39,"['동사', '아모레퍼시픽', '그룹', '태평양', '인적', '분할', '설립', '유가증권', '시장', '주식', '상장', '동사', '화장품', '제조', '판매', '생활', '용품', '제조', '판매', '식품', '녹차', '류', '건강', '기능', '식품', '포함', '제조', '가공', '판매', '사업', '영위', '동사', '기준', '화장품', '부문', '시장 점유율', '차지', '매출', '비중', '담당']"
40,"['동사', '종합', '비철금속', '제련', '회사', '설립', '기업공개', '실시', '아연', '연', '금', '은', '등', '제조', '판매', '종합', '비철금속', '제련', '회사', '비철금속', '제련', '사업', '영위', '비철금속', '산업', '철강업', '대표', '국가', '기간산업', '최근', '원자재', '산업', '지속', '발전']"
41,"['항공기', '설계', '제작', '민항기', '군용기', '정비', '위성체', '등', '연구', '개발', '수행', '항공우주', '사업', '등', '관련', '사업', '시너지', '효과', '창출', '항공우주', '사업', '본부', '국내외', '항공기', '항공기', '구조물', '설계', '제작', '생산', '정비', '성능', '개량', '등', '확보', '경험', '기술력', '바탕', '각종', '무인', '항공기', '개발', '사업', '참여', '화물', '산업', '부문', '계속', '수요', '강세', '시장', '대응', '공급', '확대', '수익', '극대', '주력']"
42,"['동사', '설립', '지주회사', '금융업', '영위', '밀접', '관련', '종속', '기업', '지배', '것', '사업', '목적', '종속', '회사', '사업', '은행업', '우리은행', '신용카드', '업', '우리카드', '종합', '금융업', '우리종합금융', '등', '우리', '자산운용', '자산운용', '우리', '글로벌', '편입', '자산운용', '업', '추가', '아주캐피탈', '지분', '취득', '자회사', '금융', '피탈', '금융', '저축', '은행', '편입', 'ABL']"
43,"['중소기업자', '효율', '신용', '제도', '확립', '자주', '경제', '활동', '지원', '것', '주목적', '설립', '중소기업', '대출', '특화', '전문', '은행', '축적', '중기', '금융', '노하우', '신용', '평가', '시스템', '바탕', '우량', '기업', '발굴', '지원', '체계', '리스크', '관리', '중', '동사', '연결', '대상', '종속', '기업', '자산', '운용', 'IBK투자증권', '피탈', '등', '규모', '유상증자', '실시', 'IBK', 'IBK']"
44,"['동사', '정보통신', '사업', '영위', '목적', '설립', '유가증권', '시장', '상장', '무선', '통신', '초고', '속', '인터넷', '등', '핵심', '사업', '지속', '성장', 'DX', '등', '성장', '사업', '성과', '창출', '디지털', '플랫폼', '기업', '변화', '매출', '금융', '위성방송', '기타 구', 'IPTV', 'IDC', 'Cloud', 'AI', 'B', 'Digico', 'ICT']"
45,"['동사', '설립', '한국', '화성', '공업', '전신', '한화케미칼', '한화', '큐', '셀', '앤드', '첨단', '소재', '통합', '사명', '변경', '케미', '칼', '부문', '석유화학', '산업', '기반', '제품', '생산', '큐', '셀', '부문', '글로벌', '그린', '에너지', '토털', '솔루션', '첨단', '소재', '부문', '경량', '복합', '소재', '태양광', '소재', '전자', '소재', '생산', '구성', '경영', '효율', '제고', '사업', '경쟁력', '강화', '한화', '갤러리아', '유통', '서비스', '한화', '도시', '개발', '부동산', '개발', '사업', '흡수', '합병']"
46,"['동사', '석유화학', '제품', '제조', '판매업', '영위', '목적', '설립', '여수', '대산', '울산', '석유화학', '단지', '공장', '올레', '핀', '계열', '방향', '족', '계열', '석유화학', '제품군', '연구', '개발', '제조', '판매', '각국', '판매', '법인', '해외', '지사', '설립', '세계', '국가', '제품', '수출', '롯데', '첨단', '소재', '흡수', '합병', '울산', 'IPA', '증설', '합작', '신규', '사업', '등', '공장', '증설', '투자', '진행', '중임', 'HDO']"
47,"['동사', '자동차', '부품', '시스템', '전자', '전기', '기계', '기구', '기타', '산업', '부품', '시스템', '제조', '수출입', '교역', '등', '목적', '설립', '유가증권', '시장', '상장', '동사', '자동차', '관리', '시스템', '생산', '단일', '사업', '부문', '영위', '자동차', '품질', '성능', '공조', '부품', '분야', '독보', '기술력', '자랑', '업계']"
48,"['동사', '동사', '자회사', '신약', '개발', '판매', '사업', '영위', '세노바', '메이트', '솔리암', '페톨', '성공', '신약', '개발', '경험', '바탕', '지속', '뇌', '질환', '수면', '질환', '관련', '신규', '물질', '발굴', '진행', '중', '질환', '약물', '개발', '뿐', '항암', '분야', '유효', '물질', '발굴', '개발', '연구', '매진', '당', '기말', 'SK', '중국', '현지', '법인', '등', '연결', '대상', '종속', '법인', '보유', 'CNS', 'LifeScience']"
49,"['지주회사', '회사', '지배', '동시', '미래', '기술', '사업', '등', '영위', '종속', '회사', '현대', '중공업', '현대', '삼호', '중공업', '현대', '미', '포', '조선', '등', '현대', '미', '포', '조선', '현대', '삼호', '중공업', '등', '종속', '기업', '포함', '조선', '부문', '선도', '지위', '유지', '매출', '조선', '엔진', '기계', '해양', '플랜트', '등', 'Hyundai', 'Vin', 'ashinShipy', 'ard']"
50,"['동사', '설립', '소재', '전문', '기업', '모빌리티', '반도체', '친환경', '분야', '고', '부가가치', '소재', '생산', '음', '극', '집', '전체', '사용', '박', '등', '생산', '모빌리티', '소재', '사업', '반도체', '공정', '소재', '생산', '반도체', '소재', '사업', '영위', 'PET', '필름', '생산', '소재', '사업', '폴리우레탄', '원료', '등', '생산', '화학', '사업', '영위', '연결', '대상', '종속', '회사', 'SK', '리스', 'SK', '피아', '이씨', '글로벌', '등', 'Industry', 'PO']"
51,"['동사', 'LG', '그룹', '계열사', '무선', '스마트', '홈', '기업', '서비스', '시장', '통신', '사업', '영위', '엘지', '헬리', '보지', '아이', '인텔', '레', '서비스', '미디어', '로그', '등', '연결', '대상', '종속', '회사', '보유', '별', '기준', '서비스', '수익', '중', '무선', '서비스', '비중', '스마트', '홈', '기업', '인프라', '전화', '서비스', '수익', '말', '기준', '시장 점유율', '무선', '서비스', '초고', '속', '인터넷', '등', 'IPTV']"
52,"['동사', '설립', '유가증권', '시장', '상장', '동사', '종합', '물류업', '유통', '판매업', '해운', '업', '영위', '현대', '자동차', '그룹', '속', '회사', '기준', '매출액', '대비', '매출', '비중', '종합', '물류업', '유통', '판매업', '해운', '업', '국내', '물류', '기업', '최초', '다우존스', '지속', '가능', '경영', '지수', '편입', '이후', '연속', '지위', '유지', '중']"
53,"['동사', '등', '기술', '활용', '관련', '제품', '생산', '판매', '사업', '영위', '단일', '사업', '부문', '구성', '대부분', '제품', '해외', '판매', '플렉서블', '스마트폰', '원형', '패널', '등', '출시', '파주', '구미', '공장', '연구소', '보유', '미주', '유럽', '아시아', '해외', '현지', '법인', 'TFT', 'LCD', 'OLED', 'Display', 'Display', 'OLED', 'Wearable', 'OLED', 'TFT', 'LCD', 'OLED']"
54,"['국내', '유일', '내국인', '출입', '카지노', '품격', '호텔', '컨벤션', '센터', '콘도', '스키장', '골프장', '등', '리조트', '사업', '지속', '성장', '도모', '하이', '원', '워터월드', '개장', '봄', '야생화', '카트', '투어', '여름', '워터월드', '하늘', '길', '트레킹', '겨울', '스키장', '등', '사계절', '거리', '한국', '관광', '공사', '선정', '비대', '관광지', '하늘', '길', '트레킹', '등', '운영']"
