,morph,,,,,,"바이오, 낸드플래쉬, "
73,"['인적분할', '지주', '회사', '자회', '사', '이앤알', '사업부문', '호텔업', '프로', '축구', '파르나스', '지분', '관광호텔업']",,,,,,
74,"['여신', '전문', '할부리스', '사업부문', '가맹점', '연계마케팅', '신용', '가맹점']",,,,,,
75,"['생산지', '발전사', '도시가스사', '배관망', '시', '전용역', '마푸토가스', '벙커링']",,,,,,
76,"['지주', '헬스', '어', '연구', '강화', '창출', '사회지주', '약', '품', '제이브이', '엠', '온라', '인', '팜', '에르무루스', '한미약품']",,,,,,
77,"['과산화', '수소', '공약품', '화', '학산업', '첨가', '제지약품', '수처리제', '계면', '활성']",,,,,,
78,"['해', '운사업', '종속', '부', '문', '석회', '석사업부문', '해', '운', '사업부', '문', '레', '미콘사업', '동해', '유', '지', '지역', '가능']",,,,,,
79,"['신흥', '조', '경']",,,,,,
80,"['기준일', '인적분', '항공화물', '극대', '주력', '화']",,,,,,
81,"['조선해양', '공사', '코로', '전선종', '수주', '잔량', '전년', '조선해양', '대', '절']",,,,,,
82,"['브로커리지', '시현', '계열사', '유']",,,,,,
83,"['결', '종속', '역업', '임대업', '신성', '장동력']",,,,,,
84,"['한국거', '래', '소', '약면세', '사업장', '제고', '사업장', '세계면세점', '등극', '레저부문', '레포츠', '성장']",,,,,,
85,"['판', '매업', '롯데칠성음', '료', '롯데푸드', '롯데쇼핑', '총국내', '상표', '초우량']",,,,,,
86,"['통신', '에', '스그룹', '반기', '현재지', '스그룹', '상장사', '네트웍스', '씨브', '이에', '운영', '체계', '고도', '수익', '모델']",,,,,,
87,"['글로벌사업부문', '영', '급성장', '대', '한', '구성']",,,,,,
88,"['매매업', '문업', '투자일임업', '투자업', '신탁업', '신용', '공여', '메리츠금융', '당기말', '종속', '메리츠', '캐', '피', '탈', '메리츠증권', '유상', '증자', '실시함']",,,,,,
89,"['기자재', '기자재', '고객사', '사업자임', '익산공', '장']",,,,,,
90,"['혈압', '아', '모디', '핀', '아모잘탄', '한미정', '밀', '북', '경한미약', '품', '호중', '구', '감소증', '치료제', '얀센', '기술', '이전', '비만치료', '치료제', '임상', '파이프라']",,,,,,
91,"['해운시', '장', '선박관리업', '벌크화물', '화', '주', '매출처', '포스', '코', '중부발전', '남', '부발', '한국남동발', '현대제철', '임']",,,,,,
92,"['동양제철', '베이직케미컬', '카', '본', '에너지솔루션', '기타', '바', '이', '오사업본부', '합작사', '수익원', '임']",,,,,,
93,"['인적분할', '세계', '폴리', '에', '스터', '타', '이어', '동반', '이어', '보', '강', '자동차용', '기술력']",,,,,,
94,"['경비', '실', '안심솔루션', '텔레마케팅', '사업부', '연구', '컨트롤']",,,,,,
95,"['제약사', '일반', '병원', '시약', '도매상', '조합제']",,,,,,
96,"['아웃', '소싱', '성통', '신체계', '통신체계', '급', '개인전투체계', '여', '대내외', '사이징', '유', '지']",,,,,,
97,"['금강스', '레', '트', '케이', '창출', '자', '건자재', '석고', '보드', '내장재', '단열재', '동종', '업']",,,,,,
