,morph
30,"['x', 'x', '한국거', '래소', 'x', 'x', '공개법인', 'x', '동', '사', 'x', 'x', 'x', 'x', '클', '라우드', 'y', 'x', 'y', 'x', '관계사', 'x', 'x', 'x', 'x', '전사', 'x', 'y', 'y', 'x', 'x', 'y', '관계사', 'y', 'x', 'x', 'x']"
31,"['다양', 'x', 'x', 'x', 'x', 'x', '연결', '항로망', '해운업계', 'x', 'x', 'x', 'x', '전문인력', 'x', 'x', 'x', 'x', 'x', '기업임', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '전략물자', 'y', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '시황', 'x', 'x', 'x', '창출', 'y', 'x', 'x']"
32,"['x', '현대', 'x', 'x', 'x', '구조', '조정', 'x', 'x', 'x', '한국중', '공업', 'x', 'x', 'x', 'x', 'y', 'x', 'x', 'x', 'y', '주단', '조품', 'x', 'y', '중', '공업', 'y', 'x', 'x', 'y', '인프라코', '어', 'x', 'x', 'x', '두산건', '설', 'x', 'x', '중', 'x', '프레스', 'x', 'y', 'x', 'x', '대', '단조품', 'x', 'x', 'x', 'x']"
33,"['x', 'x', 'x', 'x', 'x', '칩인덕터', 'x', '처항', 'x', 'x', 'y', 'x', 'x', 'x', 'x', 'y', 'y', 'y', 'y', 'y', 'x', 'x', '기판', '경연', 'x', 'y', '기판', 'y', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '보유함', 'x', 'y', 'y', '기판', 'y', '삼성전자', '종속', 'x', 'x', 'x', 'y', 'x', 'x']"
34,"['x', 'x', 'x', 'x', 'x', 'x', 'y', '보험업', 'x', 'x', 'x', 'x', 'x', '전속', '설계사', 'x', 'x', 'x', 'x', '판매망', 'x', 'x', 'x', 'x', 'x', '애니카', '다이', '렉', '트', '온라인직판', 'x', 'x', 'y', 'x', 'y', 'y', 'x', 'x', 'y', 'y', 'x', 'x', '기업', '텐', '센트', 'x', '중국법인', 'y', 'y', 'y', 'x', 'y', 'x']"
35,"['x', 'x', 'x', 'x', '석유', '화학', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '고도', 'x', 'x', 'x', '내수', '유통망', 'x', 'x', 'x', 'y', 'x', 'y', 'x', 'x', 'x', 'x', 'x', '우수', 'y', 'x', 'y', 'y', 'y', '석유', '화학', 'x', 'y', 'x', 'y', 'y', '강화']"
36,"['x', 'x', 'x', '이차', '전지', 'x', 'x', 'x', 'y', 'x', 'x', 'y', '이차전', '지', '양극재', '음극재', 'x', 'y', 'x', 'x', '내화물', 'x', 'x', '판매함', '포스코그', '룹', 'x', 'y', '전문', 'x', '유상', '증자', '규모', 'x', 'x', 'x', '차전지', 'y', 'x', '포', '스코그', '룹', 'x', 'x', 'y', '이차', '전지', 'y', 'x', 'x', 'x', 'x', 'x', 'x', '연계', 'y', 'x']"
37,"['x', '한국전', '매', '공사법', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '전매', 'x', 'x', 'y', 'x', '민영', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'y', 'x', 'x', 'x', 'x', 'x', '한', '국인삼공사', 'y', 'x', 'y', 'y', 'y', 'y', 'x', 'x', 'y', '담', '배', '삼', 'y', 'y', '케', '이', '티앤지', 'x']"
38,"['x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'y', '자회사', 'y', 'y', 'y', 'y', 'x', 'y', 'y', 'y', 'y', 'y', 'x', 'y', 'x', 'x', 'x', 'y', '스', '톤', '에이', 'x', '세븐나이츠', 'x', '캐쥬얼', '장', '르', '다양', 'y', 'x', 'x', 'x', 'x', 'x', 'y', 'x', 'x']"
39,"['x', '아모레퍼', '시픽', '그', '룹', '구태평양', '인적분할', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'x', 'x', 'x', '생활', '용품', 'y', 'y', 'x', 'x', 'x', 'x', 'y', 'x', 'y', 'x', 'y', 'x', 'x', 'y', 'x', 'y', 'x', 'y', 'x', '약차지', 'x', 'x', 'x']"
